index,image,is_valid,target
180,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-2/549fab71-ab34-4ef4-9879-466227df089c.jpg,False,1
2458,lower-gi-tract/pathological-findings/polyps/931152fe-068e-43ba-9ffc-7cac4d25b165.jpg,False,0
2969,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-3/6d872306-c295-4534-9d6b-9a01fa810421.jpg,False,5
5388,lower-gi-tract/pathological-findings/polyps/bed5109f-6f19-4119-8479-b2f9a1d28e32.jpg,False,0
6219,lower-gi-tract/pathological-findings/polyps/c3fd077b-5d9e-4d39-ac73-fe0c62dab764.jpg,False,0
8995,lower-gi-tract/pathological-findings/polyps/0717c96c-f567-4d7e-bebc-96e43ced5b4b.jpg,False,0
6192,lower-gi-tract/pathological-findings/polyps/342e34d5-c824-4840-9619-f62560ec1c1a.jpg,False,0
3740,lower-gi-tract/pathological-findings/polyps/76a5d663-f9b0-4006-aaf4-c8d5b31a77c9.jpg,False,0
7353,lower-gi-tract/pathological-findings/polyps/1e72b28c-86ad-4739-8339-b1a5cc257763.jpg,False,0
1707,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-2/0607e375-e565-4555-9a63-2fb130857189.jpg,False,1
4310,upper-gi-tract/pathological-findings/esophagitis-b-d/26afca67-62c5-4a49-be42-178d7c5b8386.jpg,False,3
9846,lower-gi-tract/pathological-findings/polyps/60ab48fb-d070-4fc9-9c30-09a3a62989e2.jpg,False,0
6977,upper-gi-tract/pathological-findings/esophagitis-a/59e5b919-bf70-424a-ab8f-a6cb44da9096.jpg,False,2
4619,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-2/b58d9524-db0a-4cd3-a280-107a3d759778.jpg,False,1
8688,lower-gi-tract/pathological-findings/polyps/cd6fe433-0f05-425c-b36f-686ab12a74c0.jpg,False,0
1819,upper-gi-tract/pathological-findings/esophagitis-a/cbc250f2-91f1-4b58-b4bc-e7aba999008c.jpg,False,2
1941,upper-gi-tract/pathological-findings/esophagitis-b-d/49cfc435-3a9c-4298-9bb2-57baa80e7c8b.jpg,False,3
7843,lower-gi-tract/pathological-findings/polyps/1020f3b4-12fa-406c-aa42-83d75d221005.jpg,False,0
9593,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-2/5b68682e-42ec-49f6-a695-9cc693333a6a.jpg,False,1
10365,lower-gi-tract/pathological-findings/polyps/2d8b35e2-06c8-4d23-89dd-b97d1ab9283d.jpg,False,0
3485,lower-gi-tract/pathological-findings/polyps/60bc75a4-d9a8-42fb-a9df-5ffddf35401e.jpg,False,0
2823,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-3/da0614e0-c5bb-48ad-afe2-4407d008abff.jpg,False,5
6315,lower-gi-tract/pathological-findings/polyps/1ef319f9-0711-4e24-ac12-464f242b47db.jpg,False,0
2854,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-3/3fc52cc0-856f-471f-a9e5-9f33a986c981.jpg,False,5
9445,lower-gi-tract/pathological-findings/polyps/f2db0823-5418-4524-9294-ae7df2271fe0.jpg,False,0
494,upper-gi-tract/pathological-findings/esophagitis-a/d406f6aa-b65a-4e3b-906d-7d6109f2e37a.jpg,False,2
5403,lower-gi-tract/pathological-findings/polyps/f1d4a9b0-b59b-439d-a0d8-47a130154f4b.jpg,False,0
10307,lower-gi-tract/pathological-findings/polyps/68c5badf-03f7-4b04-85d8-cf0b767ed9d3.jpg,False,0
3226,upper-gi-tract/pathological-findings/esophagitis-b-d/7de750dd-8828-470d-97d0-89a79e34fb2b.jpg,False,3
8393,lower-gi-tract/pathological-findings/polyps/a6142b7d-b490-4180-9202-89dcfb3a9948.jpg,False,0
1592,lower-gi-tract/pathological-findings/polyps/d2cb4c25-d161-4b88-910c-bb64fa075ec6.jpg,False,0
4887,lower-gi-tract/pathological-findings/polyps/0e845ea2-286d-481c-b071-ead7b90be653.jpg,False,0
894,upper-gi-tract/pathological-findings/esophagitis-a/8122bf0b-f844-4435-b5dc-76a49a29e4f9.jpg,False,2
7826,lower-gi-tract/pathological-findings/polyps/3c034222-f389-4f6c-93f2-0d5606fe19ef.jpg,False,0
80,lower-gi-tract/pathological-findings/polyps/fd5d7858-8b06-4ff6-8a65-c60e1c2d63f9.jpg,False,0
263,upper-gi-tract/pathological-findings/esophagitis-a/c8edfd99-e2e3-48ac-a4ec-978a862a1f9f.jpg,False,2
8418,lower-gi-tract/pathological-findings/polyps/859788ac-590b-41cf-9796-1eab43d6885f.jpg,False,0
1699,lower-gi-tract/pathological-findings/polyps/aa4fe1ba-020c-4bf8-bd36-f2c40a96a846.jpg,False,0
9120,upper-gi-tract/pathological-findings/esophagitis-a/817d0505-8608-4f52-a137-b277b9be3a59.jpg,False,2
7101,lower-gi-tract/pathological-findings/polyps/dfca946d-6908-4c89-bbe9-9a8f255da317.jpg,False,0
9412,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-3/d2a0e418-b56e-49e1-8d21-5be1aa241be3.jpg,False,5
9512,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-1/1eadb6b4-36c8-4041-813b-1724959790d9.jpg,False,4
595,lower-gi-tract/pathological-findings/polyps/1addf8a6-e722-4fe7-b903-1c077c8a48a0.jpg,False,0
443,upper-gi-tract/pathological-findings/esophagitis-b-d/32685ce4-7967-4fef-89ae-87f52fd8792c.jpg,False,3
5420,lower-gi-tract/pathological-findings/polyps/796a0a55-a2bf-4bcb-8aaf-3c493282490a.jpg,False,0
11,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-1/304f4948-c4a1-4af8-bb05-1e186663acc1.jpg,False,4
1572,lower-gi-tract/pathological-findings/polyps/08932aba-bc54-4e1a-b97c-4214d95e3377.jpg,False,0
2122,lower-gi-tract/pathological-findings/polyps/1512ecf6-6d16-4204-95d0-d9cce4713b1d.jpg,False,0
1866,lower-gi-tract/pathological-findings/polyps/3d9e2d70-1d14-4e08-8a6e-e7b219fb615f.jpg,False,0
3936,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-2/28bdbb35-dc70-400d-a150-49cfb677ddee.jpg,False,1
6714,upper-gi-tract/pathological-findings/esophagitis-b-d/b65c5111-16f6-46d3-bf29-8e8626cabe93.jpg,False,3
7297,lower-gi-tract/pathological-findings/polyps/7a588363-1099-4c40-bdbd-eb1505c75264.jpg,False,0
2522,upper-gi-tract/pathological-findings/esophagitis-b-d/baefe9fa-c451-4246-8947-9a4901665e60.jpg,False,3
10636,lower-gi-tract/pathological-findings/polyps/f67e23fb-7c59-458d-9b96-da0092923bc2.jpg,False,0
4759,upper-gi-tract/pathological-findings/esophagitis-b-d/a8f81645-f715-4ef6-8b0d-21ef4c93bfde.jpg,False,3
10610,upper-gi-tract/pathological-findings/esophagitis-a/6f2daa70-5f91-431f-ac2f-923e784b974c.jpg,False,2
8529,lower-gi-tract/pathological-findings/polyps/57d68e7b-ad0b-4bc1-b44d-dad2f513d307.jpg,False,0
6210,lower-gi-tract/pathological-findings/polyps/419b95af-cd80-4fb5-95d3-55aa3d223a6b.jpg,False,0
253,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-1/ac9be23b-9e10-4625-ad9d-1fb27aa6b314.jpg,False,4
8474,upper-gi-tract/pathological-findings/esophagitis-a/e8fd5368-a819-403c-9486-b15c3903d6bd.jpg,False,2
87,lower-gi-tract/pathological-findings/polyps/a0a412a3-b5b1-4e07-ac9c-718babcd3bc4.jpg,False,0
4808,upper-gi-tract/pathological-findings/esophagitis-a/2b86a9b3-34c3-432f-bf8d-3a92aa3e64de.jpg,False,2
6118,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-1/247aa060-0bed-4163-9f79-00f9e55e3d28.jpg,False,4
2508,lower-gi-tract/pathological-findings/polyps/08687f33-8195-41ca-8239-929967535ec5.jpg,False,0
802,upper-gi-tract/pathological-findings/esophagitis-a/6d002731-c8d9-44bf-a67d-4676aed45e7c.jpg,False,2
757,upper-gi-tract/pathological-findings/esophagitis-a/db81e19f-7688-4573-a420-71d4d2234574.jpg,False,2
3464,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-3/4d0b10a3-a055-4239-b455-cca44f90998d.jpg,False,5
